City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Avera,US,33.194,-82.5271,65.71,25,0,21.14,clear sky
1,Bluff,NZ,-46.6,168.3333,55.18,81,44,2.26,scattered clouds
2,Brae,GB,60.3964,-1.353,46.98,90,100,12.5,overcast clouds
3,Sioux Lookout,CA,50.1001,-91.917,10.47,56,75,18.41,broken clouds
4,Albany,US,42.6001,-73.9662,47.88,79,100,7.02,moderate rain
5,Lavrentiya,RU,65.5833,-171.0,5.85,97,99,1.32,overcast clouds
6,Coquimbo,CL,-29.9533,-71.3436,67.73,63,40,11.5,scattered clouds
7,Rafaela,AR,-31.2503,-61.4867,77.99,38,0,1.99,clear sky
8,Mahebourg,MU,-20.4081,57.7,80.89,83,40,5.75,scattered clouds
9,Marawi,PH,7.9986,124.2928,67.69,98,100,2.73,overcast clouds
10,Torbay,CA,47.6666,-52.7314,39.76,96,100,5.75,light intensity drizzle
11,Ust-Nera,RU,64.5667,143.2,-8.75,99,99,3.06,overcast clouds
12,Jamestown,US,42.097,-79.2353,38.52,58,100,16.11,overcast clouds
13,Butaritari,KI,3.0707,172.7902,80.91,73,100,13.71,overcast clouds
14,Geraldton,AU,-28.7667,114.6,73.81,88,40,8.05,scattered clouds
15,Qaanaaq,GL,77.484,-69.3632,1.45,92,99,3.83,overcast clouds
16,Airai,TL,-8.9266,125.4092,58.95,88,95,1.19,overcast clouds
17,Hofn,IS,64.2539,-15.2082,44.73,96,100,10.83,overcast clouds
18,Thompson,CA,55.7435,-97.8558,-0.24,46,0,13.8,clear sky
19,Floriano,BR,-6.7669,-43.0225,88.75,59,19,4.14,few clouds
20,Tuatapere,NZ,-46.1333,167.6833,51.42,91,29,1.5,scattered clouds
21,Vaini,TO,-21.2,-175.2,75.36,83,40,5.75,scattered clouds
22,Hirara,JP,24.8,125.2833,68.99,91,100,21.7,overcast clouds
23,New Norfolk,AU,-42.7826,147.0587,55.92,82,3,2.51,clear sky
24,Barrow,US,71.2906,-156.7887,-2.18,78,0,18.41,haze
25,Martapura,ID,-3.4167,114.85,77.09,94,75,1.14,broken clouds
26,Indramayu,ID,-6.3264,108.32,78.01,85,100,7.11,overcast clouds
27,Saint George,US,37.1041,-113.5841,82.63,15,0,3.44,clear sky
28,Kodiak,US,57.79,-152.4072,38.71,81,75,0.0,broken clouds
29,Beyneu,KZ,45.3167,55.2,36.68,85,100,14.63,overcast clouds
30,Puerto Ayora,EC,-0.7393,-90.3518,80.56,74,53,9.95,light rain
31,Darasun,RU,51.6667,114.0,4.69,91,4,2.73,clear sky
32,Rikitea,PF,-23.1203,-134.9692,79.3,72,4,12.5,clear sky
33,Luderitz,NA,-26.6481,15.1594,65.48,70,0,7.34,clear sky
34,Ponta Do Sol,PT,32.6667,-17.1,66.06,73,100,14.99,overcast clouds
35,San Jose,US,37.3394,-121.895,75.54,51,40,8.05,scattered clouds
36,Ushuaia,AR,-54.8,-68.3,49.66,81,75,6.91,light intensity drizzle
37,Natal,BR,-5.795,-35.2094,84.42,74,75,9.22,broken clouds
38,Cayenne,GF,4.9333,-52.3333,82.44,1,75,9.22,light rain
39,Banjar,ID,-8.19,114.9675,77.11,89,59,3.31,broken clouds
40,Port-Cartier,CA,50.0334,-66.8654,32.76,98,99,6.55,light snow
41,Sao Filipe,CV,14.8961,-24.4956,70.47,75,72,12.08,broken clouds
42,Loandjili,CG,-4.7561,11.8578,80.71,89,20,5.75,thunderstorm
43,Vila Velha,BR,-20.3297,-40.2925,87.75,74,0,17.27,clear sky
44,Hasaki,JP,35.7333,140.8333,61.29,94,100,14.99,overcast clouds
45,Iqaluit,CA,63.7506,-68.5145,24.53,79,40,13.8,scattered clouds
46,Honningsvag,NO,70.9821,25.9704,24.55,86,75,24.16,light snow
47,Toktogul,KG,41.8708,72.9402,44.78,93,100,1.59,light rain
48,Victoria,HK,22.2855,114.1577,76.95,91,77,11.01,broken clouds
49,Havre-Saint-Pierre,CA,50.2334,-63.5986,32.36,93,100,16.11,overcast clouds
50,Hermanus,ZA,-34.4187,19.2345,62.8,75,88,13.22,overcast clouds
51,Grand Forks,US,47.9417,-97.4337,19.33,45,20,23.02,few clouds
52,Altamira,BR,-3.2033,-52.2064,91.49,62,75,3.44,broken clouds
53,Venado Tuerto,AR,-33.7456,-61.9688,73.76,39,0,7.45,clear sky
54,Yellowknife,CA,62.456,-114.3525,4.41,58,75,14.97,broken clouds
55,Ribeira Grande,PT,38.5167,-28.7,59.4,82,40,16.11,mist
56,Punta Arenas,CL,-53.15,-70.9167,53.71,66,100,0.0,light intensity shower rain
57,Bambous Virieux,MU,-20.3428,57.7575,80.85,83,40,5.75,scattered clouds
58,Guerrero Negro,MX,27.9769,-114.0611,74.8,43,71,8.5,broken clouds
59,Kedrovyy,RU,56.1667,91.8167,21.61,93,100,10.45,overcast clouds
60,Busselton,AU,-33.65,115.3333,63.88,82,97,18.28,overcast clouds
61,Tuktoyaktuk,CA,69.4541,-133.0374,-9.4,64,40,12.66,scattered clouds
62,Cagliliog,PH,13.9016,123.2913,77.54,85,7,6.87,clear sky
63,Dikson,RU,73.5069,80.5464,-4.54,93,100,14.2,overcast clouds
64,Mount Gambier,AU,-37.8333,140.7667,46.31,93,75,5.75,fog
65,Cabedelo,BR,-6.9811,-34.8339,83.07,79,95,6.93,overcast clouds
66,Upernavik,GL,72.7868,-56.1549,12.67,92,100,5.39,overcast clouds
67,Atuona,PF,-9.8,-139.0333,79.3,78,50,16.62,light rain
68,Ingham,US,42.6,-84.3833,33.03,78,100,19.57,overcast clouds
69,Norman Wells,CA,65.282,-126.8329,1.44,55,20,8.05,few clouds
70,Galesong,ID,-5.3166,119.3661,77.02,84,100,3.11,overcast clouds
71,Mokrous,RU,51.2333,47.5167,35.49,80,98,17.54,overcast clouds
72,Cape Town,ZA,-33.9258,18.4232,68.41,65,0,8.05,clear sky
73,Pevek,RU,69.7008,170.3133,-4.22,98,100,8.01,overcast clouds
74,Lorengau,PG,-2.0226,147.2712,81.27,77,100,7.76,overcast clouds
75,San Policarpo,PH,12.1791,125.5072,79.86,83,100,11.56,overcast clouds
76,Saint-Pierre,RE,-21.3393,55.4781,78.48,74,0,5.75,clear sky
77,Bethel,US,41.3712,-73.414,52.52,80,100,6.91,light rain
78,Mindelo,CV,16.8901,-24.9804,72.95,56,75,5.75,broken clouds
79,Avarua,CK,-21.2078,-159.775,78.85,89,75,6.91,light rain
80,Balaguer,ES,41.7912,0.8109,49.15,96,100,3.29,light rain
81,Acurenam,GQ,1.0322,10.6488,71.1,90,94,2.19,overcast clouds
82,Olafsvik,IS,64.8945,-23.7142,37.58,84,100,20.76,overcast clouds
83,Alofi,NU,-19.0595,-169.9187,78.69,94,100,6.91,overcast clouds
84,Poronaysk,RU,49.2167,143.1167,30.02,98,100,12.17,snow
85,Whitehorse,CA,60.7161,-135.0538,34.11,55,75,5.75,broken clouds
86,Filadelfia,US,39.9523,-75.1638,56.01,45,75,23.02,broken clouds
87,Berlevag,NO,70.8578,29.0864,22.8,66,100,25.61,light snow
88,Vigrestad,NO,58.5667,5.7,41.95,83,92,13.56,overcast clouds
89,Mataura,NZ,-46.1927,168.8643,48.15,98,27,0.69,scattered clouds
90,Tigil,RU,57.8,158.6667,7.36,95,100,5.68,overcast clouds
91,Port Elizabeth,ZA,-33.918,25.5701,66.49,85,100,3.44,overcast clouds
92,Sitka,US,57.0531,-135.33,39.09,70,20,4.61,few clouds
93,Tucurui,BR,-3.7661,-49.6725,82.85,84,49,3.2,light rain
94,Nioro,GM,13.35,-15.75,85.28,23,5,12.44,clear sky
95,Port Alfred,ZA,-33.5906,26.891,65.17,84,100,3.0,overcast clouds
96,Atherton,GB,53.5237,-2.4935,59.25,58,92,1.99,overcast clouds
97,Lebu,CL,-37.6167,-73.65,61.18,70,72,6.38,broken clouds
98,Quelimane,MZ,-17.8786,36.8883,80.55,83,20,5.75,few clouds
99,Aklavik,CA,68.2191,-135.0107,-2.2,65,20,8.05,few clouds
100,Mehamn,NO,71.0357,27.8492,23.7,67,100,24.34,light snow
101,Joao Pinheiro,BR,-17.7425,-46.1725,82.53,54,65,4.12,broken clouds
102,Chokurdakh,RU,70.6333,147.9167,-2.31,97,100,8.84,overcast clouds
103,Manjacaze,MZ,-24.7117,33.8828,68.14,97,97,3.15,overcast clouds
104,Porto Santo,PT,33.072,-16.3415,62.98,77,40,12.66,scattered clouds
105,Hilo,US,19.7297,-155.09,78.24,73,100,4.61,overcast clouds
106,Kapaa,US,22.0752,-159.319,76.19,65,75,16.11,broken clouds
107,Hithadhoo,MV,-0.6,73.0833,83.17,69,0,12.62,clear sky
108,Itamaraca,BR,-7.7478,-34.8256,84.25,79,87,5.68,moderate rain
109,Moron,AR,-34.6534,-58.6198,74.01,67,15,8.77,few clouds
110,Namibe,AO,-15.1961,12.1522,72.64,77,12,8.93,few clouds
111,Marysville,US,48.0518,-122.1771,60.67,67,100,11.5,overcast clouds
112,Nanortalik,GL,60.1432,-45.2371,29.16,81,6,2.59,clear sky
113,Carnarvon,AU,-24.8667,113.6333,77.07,69,100,5.75,overcast clouds
114,Roebourne,AU,-20.7833,117.1333,82.26,70,41,10.71,scattered clouds
115,Jishou,CN,28.3167,109.7167,51.3,97,100,2.73,overcast clouds
116,Fairbanks,US,64.8378,-147.7164,34.83,62,75,1.01,broken clouds
117,Qaqortoq,GL,60.7167,-46.0333,26.28,71,36,1.54,scattered clouds
118,East London,ZA,-33.0153,27.9116,66.78,89,96,11.43,light rain
119,George Town,MY,5.4112,100.3354,82.33,88,20,2.3,few clouds
120,Laguna,US,38.421,-121.4238,79.18,51,0,5.75,clear sky
121,Lagoa,PT,39.05,-27.9833,59.38,87,100,23.04,overcast clouds
122,Pangnirtung,CA,66.1451,-65.7125,26.6,54,75,9.22,broken clouds
123,Tasiilaq,GL,65.6145,-37.6368,28.56,71,2,2.68,clear sky
124,Biak,ID,-0.9131,122.8766,75.96,82,99,2.62,overcast clouds
125,Nikolskoye,RU,59.7035,30.7861,26.87,85,100,20.33,light snow
126,Piura,PE,-5.2,-80.6333,85.64,49,100,6.17,overcast clouds
127,Mar Del Plata,AR,-38.0023,-57.5575,64.42,92,100,17.0,overcast clouds
128,Vila,PT,42.0304,-8.1588,50.88,79,75,3.65,broken clouds
129,Kloulklubed,PW,7.0419,134.2556,82.9,76,100,14.09,moderate rain
130,Diu,IN,20.7141,70.9822,80.06,52,0,12.15,clear sky
131,Khilok,RU,51.3674,110.4676,4.82,94,59,3.69,broken clouds
132,Umea,SE,63.8284,20.2597,28.33,40,0,5.75,clear sky
133,Koroni,GR,36.8,21.95,57.07,66,0,1.68,clear sky
134,Mogoytuy,RU,51.2833,114.9167,16.92,63,2,6.17,clear sky
135,Ilulissat,GL,69.2167,-51.1,15.82,67,75,0.0,broken clouds
136,Hobart,AU,-42.8794,147.3294,56.26,94,75,5.75,fog
137,Ous,RU,60.9058,61.5186,22.69,88,100,10.69,overcast clouds
138,Egvekinot,RU,66.3167,-179.1667,5.13,95,99,0.43,overcast clouds
139,Floro,NO,61.5996,5.0328,42.22,70,100,11.5,overcast clouds
140,Codrington,AU,-38.2667,141.9667,55.09,73,0,4.81,clear sky
141,Hargeysa,SO,9.56,44.065,64.96,90,31,10.65,scattered clouds
142,Bilma,NE,18.6853,12.9164,76.39,11,56,6.96,broken clouds
143,Khorixas,NA,-20.3667,14.9667,72.68,61,0,9.24,clear sky
144,Souillac,MU,-20.5167,57.5167,80.98,83,40,5.75,scattered clouds
145,Cheremnoye,RU,53.1697,83.2133,16.39,95,100,6.26,overcast clouds
146,Vizinga,RU,61.0749,50.1031,32.72,98,100,9.82,snow
147,La Plaine,DM,15.3333,-61.25,82.69,65,20,9.22,few clouds
148,San Quintin,MX,30.4833,-115.95,67.93,65,43,9.82,scattered clouds
149,Excelsior Springs,US,39.3392,-94.2261,55.72,21,0,16.11,clear sky
150,Fortuna,US,40.5982,-124.1573,67.93,63,0,3.0,clear sky
151,Ishinomaki,JP,38.4167,141.3,55.0,83,100,14.67,light rain
152,Khatanga,RU,71.9667,102.5,-12.98,100,58,7.49,broken clouds
153,Ust-Maya,RU,60.4167,134.5333,-13.04,100,100,1.41,overcast clouds
154,Deder,ET,9.3167,41.45,58.21,79,100,5.32,overcast clouds
155,Sheltozero,RU,61.3667,35.3667,21.97,82,100,29.55,overcast clouds
156,Long Beach,US,33.767,-118.1892,82.83,73,0,6.91,haze
157,Kita,ML,13.0349,-9.4895,93.76,13,6,4.97,clear sky
158,Tazmalt,DZ,36.3868,4.3989,56.61,80,61,6.11,broken clouds
159,Itarema,BR,-2.9248,-39.9167,81.3,80,100,11.23,overcast clouds
160,Keskin,TR,39.6731,33.6136,30.27,66,4,2.3,clear sky
161,Salalah,OM,17.0151,54.0924,77.38,48,10,1.23,clear sky
162,Bodden Town,KY,19.2833,-81.25,79.0,80,75,8.05,broken clouds
163,Puerto Colombia,CO,10.9878,-74.9547,87.89,77,40,20.49,scattered clouds
164,Kaitangata,NZ,-46.2817,169.8464,49.46,94,33,3.22,scattered clouds
165,Stornoway,GB,58.2093,-6.3865,47.03,84,100,5.75,overcast clouds
166,Ovre Ardal,NO,61.3167,7.8,25.9,99,100,1.7,overcast clouds
167,Bubaque,GW,11.2833,-15.8333,76.87,67,3,22.41,clear sky
168,Muli,MV,2.9167,73.5667,81.93,63,17,6.08,few clouds
169,Arraial Do Cabo,BR,-22.9661,-42.0278,91.36,66,0,18.41,clear sky
170,Kavaratti,IN,10.5669,72.642,81.82,70,1,2.3,clear sky
171,Zhanaozen,KZ,43.3,52.8,36.01,88,93,11.12,overcast clouds
172,Namatanai,PG,-3.6667,152.4333,78.91,82,100,3.24,overcast clouds
173,At-Bashi,KG,41.1702,75.8106,36.32,69,100,7.81,overcast clouds
174,Bengkulu,ID,-3.8004,102.2655,76.08,90,75,7.63,broken clouds
175,Gat,IL,31.61,34.7642,54.39,100,0,3.2,clear sky
176,Kozhevnikovo,RU,56.2589,83.9714,-2.06,100,59,2.55,broken clouds
177,Georgetown,MY,5.4112,100.3354,82.33,88,20,2.3,few clouds
178,Suntar,RU,62.1444,117.6319,-0.56,100,95,2.59,overcast clouds
179,Port Macquarie,AU,-31.4333,152.9167,64.29,100,75,1.14,light rain
180,Harper,LR,4.375,-7.7169,80.26,84,87,8.23,moderate rain
181,Antalaha,MG,-14.9003,50.2788,76.89,90,8,4.94,clear sky
182,Yerbogachen,RU,61.2767,108.0108,17.6,89,100,8.23,overcast clouds
183,Severo-Kurilsk,RU,50.6789,156.125,27.93,86,99,9.08,overcast clouds
184,Mahajanga,MG,-15.7167,46.3167,80.62,89,20,4.61,few clouds
185,Corvallis,US,44.5646,-123.262,67.06,70,0,3.44,clear sky
186,Zyryanka,RU,65.75,150.85,-5.01,97,100,3.83,overcast clouds
187,Vila Franca Do Campo,PT,37.7167,-25.4333,61.21,87,100,22.46,overcast clouds
188,Abalak,RU,58.1286,68.5944,4.21,96,41,5.97,scattered clouds
189,Mandalgovi,MN,45.7625,106.2708,23.54,22,0,10.49,clear sky
190,Narsaq,GL,60.9167,-46.05,30.42,72,31,0.87,scattered clouds
191,Nerang,AU,-27.9833,153.3333,69.58,95,91,2.66,light rain
192,Buala,SB,-8.145,159.5921,77.79,85,88,3.33,moderate rain
193,Novo Horizonte,BR,-21.4681,-49.2208,80.82,71,59,6.17,broken clouds
194,Champerico,GT,14.3,-91.9167,93.74,63,35,13.15,scattered clouds
195,Hambantota,LK,6.1241,81.1185,77.9,84,5,3.49,clear sky
196,Cidreira,BR,-30.1811,-50.2056,72.77,65,95,10.67,overcast clouds
197,Dunedin,NZ,-45.8742,170.5036,61.81,90,63,1.01,broken clouds
198,Nuuk,GL,64.1835,-51.7216,25.41,68,20,15.01,few clouds
199,Poum,NC,-20.2333,164.0167,79.84,74,64,14.47,broken clouds
200,Silifke,TR,36.3778,33.9344,50.9,41,1,13.69,clear sky
201,Havelock,US,34.8791,-76.9013,64.4,48,40,21.85,scattered clouds
202,Korla,CN,41.7597,86.1469,46.35,48,100,2.91,overcast clouds
203,Byron Bay,AU,-28.65,153.6167,66.09,95,100,5.14,light rain
204,Horadiz,AZ,39.4488,47.3353,46.72,62,98,5.37,overcast clouds
205,Caninde,BR,-4.3589,-39.3117,78.58,84,100,4.94,moderate rain
206,Oakdale,US,44.963,-92.9649,32.65,38,0,19.57,clear sky
207,Ancud,CL,-41.8697,-73.8203,55.22,92,96,20.18,moderate rain
208,Umm Lajj,SA,25.0213,37.2685,67.73,48,0,21.3,clear sky
209,Qafqafa,JO,32.3483,35.9395,45.75,67,0,5.5,clear sky
210,Saldanha,ZA,-33.0117,17.9442,69.85,80,95,7.38,overcast clouds
211,Sur,OM,22.5667,59.5289,82.13,36,0,10.78,clear sky
212,Sistranda,NO,63.7256,8.834,33.76,98,100,9.04,light snow
213,Ambon,ID,-3.6954,128.1814,75.34,100,40,5.75,scattered clouds
214,Pontes E Lacerda,BR,-15.2261,-59.3353,80.02,75,99,2.71,overcast clouds
215,Balgarovo,BG,42.6214,27.3046,47.44,65,0,6.91,clear sky
216,Linhares,BR,-19.3911,-40.0722,82.36,69,85,6.64,overcast clouds
217,Broken Hill,AU,-31.95,141.4333,60.51,67,0,10.36,clear sky
218,Kuhdasht,IR,33.535,47.6061,42.57,52,2,1.97,clear sky
219,Gambela,ET,8.25,34.5833,87.13,24,58,0.87,broken clouds
220,Havoysund,NO,70.9963,24.6622,25.03,63,100,20.92,light snow
221,Lata,PT,40.1629,-8.3327,57.24,68,57,4.81,broken clouds
222,Dongsheng,CN,39.8161,109.9776,26.06,31,0,3.69,clear sky
223,Ayagoz,KZ,47.9714,80.4392,24.24,92,100,2.55,light snow
224,Monrovia,LR,6.3005,-10.7969,73.17,85,74,7.81,broken clouds
225,Samarai,PG,-10.6167,150.6667,81.73,76,100,4.43,overcast clouds
226,Acambay,MX,19.9558,-99.8417,71.56,12,3,12.26,clear sky
227,Chuy,UY,-33.6971,-53.4616,70.0,67,83,14.25,broken clouds
228,Ghanzi,BW,-21.5667,21.7833,72.68,59,46,6.64,scattered clouds
229,Cabo San Lucas,MX,22.8909,-109.9124,86.31,30,0,6.91,clear sky
230,Asau,RO,46.4333,26.4,51.28,60,93,13.2,overcast clouds
231,Yei,SS,4.095,30.6779,72.72,72,99,3.24,light rain
232,Sosnovo-Ozerskoye,RU,52.5249,111.5418,-7.83,98,78,2.48,broken clouds
233,Poso,ID,-1.3959,120.7524,76.95,80,100,3.56,overcast clouds
234,Port Hardy,CA,50.6996,-127.4199,46.58,87,100,10.36,light rain
235,Zaysan,KZ,47.4667,84.8667,28.83,80,100,1.81,overcast clouds
236,Raga,SS,8.4596,25.678,79.84,12,100,5.95,overcast clouds
237,Zurrieq,MT,35.8311,14.4742,57.96,88,20,25.32,few clouds
238,Bredasdorp,ZA,-34.5322,20.0403,64.02,73,58,12.95,broken clouds
239,Tessalit,ML,20.1986,1.0114,90.3,11,100,10.98,overcast clouds
240,Talnakh,RU,69.4865,88.3972,20.21,77,100,4.54,overcast clouds
241,Sola,VU,-13.8833,167.55,82.44,72,97,8.39,moderate rain
242,Dongying,CN,37.4564,118.4856,45.79,48,0,14.99,clear sky
243,Bandarbeyla,SO,9.4942,50.8122,77.38,62,28,10.22,scattered clouds
244,Mount Isa,AU,-20.7333,139.5,64.17,82,4,0.0,light rain
245,Castro,BR,-24.7911,-50.0119,73.08,76,95,6.33,overcast clouds
246,Porto Novo,BJ,6.4965,2.6036,84.02,79,100,9.82,overcast clouds
247,Bilibino,RU,68.0546,166.4372,-6.07,99,100,2.93,overcast clouds
248,Lasa,IT,46.6166,10.7002,47.28,68,5,0.65,clear sky
249,Kahului,US,20.8947,-156.47,71.96,89,75,11.5,light rain
250,Minnedosa,CA,50.2453,-99.8436,10.96,60,30,5.84,scattered clouds
251,Vestmannaeyjar,IS,63.4427,-20.2734,46.76,92,100,19.06,light rain
252,Moerai,PF,-22.4333,-151.3333,81.01,74,85,10.58,overcast clouds
253,Abu Dhabi,AE,24.4667,54.3667,75.31,70,0,9.22,clear sky
254,Camacha,PT,33.0833,-16.3333,60.22,77,40,12.66,scattered clouds
255,Saskylakh,RU,71.9167,114.0833,-24.93,100,100,2.77,overcast clouds
256,Riohacha,CO,11.5444,-72.9072,84.31,74,20,11.5,few clouds
257,Palmer,US,42.1584,-72.3287,51.35,78,100,1.01,overcast clouds
258,Manyana,BW,-23.4,21.7167,74.07,53,96,6.53,overcast clouds
259,Port Victoria,KE,0.0939,33.9756,69.57,79,100,8.3,overcast clouds
260,Aden,YE,12.7794,45.0367,78.85,77,5,10.31,clear sky
261,Hamilton,US,39.1834,-84.5333,38.88,67,100,19.57,overcast clouds
262,Klyuchevskiy,RU,53.5317,119.4519,7.88,97,43,4.09,scattered clouds
263,Gombong,ID,-7.6072,109.5142,76.93,91,100,1.86,overcast clouds
264,Bako,ET,5.7833,36.5667,65.62,77,100,3.62,overcast clouds
265,Saint-Philippe,RE,-21.3585,55.7679,78.39,86,29,7.81,scattered clouds
266,Osa,RU,57.2829,55.4567,31.01,90,100,18.39,overcast clouds
267,Kathmandu,NP,27.7167,85.3167,61.02,55,20,3.44,few clouds
268,Ust-Kuyga,RU,70.0167,135.6,-14.71,100,100,5.32,overcast clouds
269,Soldato-Aleksandrovskoye,RU,44.2653,43.7561,37.69,80,75,8.19,broken clouds
270,Hobyo,SO,5.3505,48.5268,80.78,67,29,15.01,scattered clouds
271,Bereda,ES,43.2686,-7.5406,57.58,86,100,2.42,overcast clouds
272,Sept-Iles,CA,50.2001,-66.3821,33.06,92,100,10.36,mist
273,Ibra,OM,22.6906,58.5334,75.67,18,0,4.47,clear sky
274,Sao Francisco De Assis,BR,-29.5503,-55.1311,71.06,60,100,10.58,overcast clouds
275,Tura,IN,25.5198,90.2201,69.37,84,3,6.33,clear sky
276,Pacific Grove,US,36.6177,-121.9166,67.39,81,40,6.91,scattered clouds
277,Rawson,AR,-43.3002,-65.1023,75.2,31,0,21.56,clear sky
278,Buritizeiro,BR,-17.3511,-44.9622,88.34,40,76,4.03,broken clouds
279,San Vicente,AR,-26.6167,-54.1333,75.7,42,0,4.68,clear sky
280,Severo-Yeniseyskiy,RU,60.3725,93.0408,8.42,89,100,13.09,overcast clouds
281,Badou,TG,7.5833,0.6,78.75,74,98,3.24,overcast clouds
282,Yeppoon,AU,-23.1333,150.7333,69.58,73,63,7.38,broken clouds
283,Klaksvik,FO,62.2266,-6.589,47.32,82,100,24.25,overcast clouds
284,Touros,BR,-5.1989,-35.4608,79.65,83,100,9.1,overcast clouds
285,Biltine,TD,14.5333,20.9167,77.52,10,5,20.76,clear sky
286,Okato,NZ,-39.2,173.8833,60.91,70,36,15.88,scattered clouds
287,Nemuro,JP,43.3236,145.575,41.27,99,100,26.98,moderate rain
288,Kpandae,GH,8.4689,-0.0113,92.61,40,65,12.37,broken clouds
289,Tamworth,GB,52.634,-1.6959,55.72,73,19,7.83,few clouds
290,Boddam,GB,57.4667,-1.7833,47.64,82,16,5.14,few clouds
291,Santa Rosa,PH,14.3122,121.1114,83.1,75,5,6.06,clear sky
292,Kijang,KR,35.2442,129.2139,51.53,77,100,2.68,overcast clouds
293,Chicama,PE,-7.8447,-79.1469,70.34,61,99,9.73,overcast clouds
294,Kulhudhuffushi,MV,6.6221,73.07,81.72,67,0,4.23,clear sky
295,Gamba,GA,-2.65,10.0,78.26,90,100,6.85,moderate rain
296,Svetlogorsk,BY,52.6333,29.7333,35.78,58,10,20.78,clear sky
297,Bloemfontein,ZA,-29.1211,26.214,56.68,77,0,3.44,clear sky
298,Ondjiva,AO,-17.0667,15.7333,70.54,41,11,4.72,few clouds
299,Yarmouth,US,41.7057,-70.2286,54.61,70,100,9.22,light rain
300,Leningradskiy,RU,69.3833,178.4167,-6.92,84,2,4.88,clear sky
301,Dingle,PH,10.9995,122.6711,76.1,90,89,6.42,overcast clouds
302,Rabat,MA,33.9911,-6.8401,60.87,88,40,5.75,scattered clouds
303,Tabuk,PH,17.4189,121.4443,73.6,84,19,1.86,few clouds
304,Tiksi,RU,71.6872,128.8694,-13.5,100,99,3.36,overcast clouds
305,Atasu,KZ,48.6814,71.6433,33.08,92,100,4.99,overcast clouds
306,Saint-Martin-Boulogne,FR,50.7269,1.6186,53.6,81,0,12.64,clear sky
307,Ashtian,IR,34.5217,50.0019,35.35,43,0,9.95,clear sky
308,Trinidad,BO,-14.8333,-64.9,78.78,57,75,5.75,broken clouds
309,Dole,FR,47.0833,5.5,58.91,41,0,9.22,clear sky
310,Xudat,AZ,41.631,48.681,38.97,89,51,6.46,broken clouds
311,Paracin,RS,43.8608,21.4078,50.88,53,1,1.61,clear sky
312,Krasnoselkup,RU,65.7,82.4667,6.6,92,100,18.61,overcast clouds
313,Kangundo,KE,-1.2979,37.3471,66.54,81,62,3.24,moderate rain
314,Pabrade,LT,55.0,25.7833,35.19,74,100,17.78,overcast clouds
315,Hakkari,TR,37.5833,44.1667,18.18,97,99,1.54,overcast clouds
316,Vung Tau,VN,10.346,107.0843,81.5,78,0,8.23,clear sky
317,Bathsheba,BB,13.2167,-59.5167,84.81,61,40,20.71,scattered clouds
318,Baruun-Urt,MN,46.6806,113.2792,18.54,49,0,6.6,clear sky
319,Ailigandi,PA,9.2333,-78.0167,81.57,75,99,11.52,overcast clouds
320,Pemangkat,ID,1.1667,108.9667,79.56,83,96,4.79,moderate rain
321,Kirakira,SB,-10.4544,161.9205,79.52,85,92,5.03,overcast clouds
322,Ribas Do Rio Pardo,BR,-20.4431,-53.7592,74.73,85,99,6.98,overcast clouds
323,Harur,IN,12.0667,78.5,76.28,88,0,4.21,clear sky
324,Sobolevo,RU,54.4299,31.8996,30.45,73,94,20.83,overcast clouds
325,Kalemie,CD,-5.9475,29.1947,72.63,84,57,1.3,broken clouds
326,Naze,JP,28.3667,129.4833,59.92,81,100,9.93,overcast clouds
